Time [s], Analyzer Name, Decoded Protocol Result,,,,,,,,,,
0.39707875,SMBus,PEC 0x08 OK,,,,,,,,,,
0.398605583333333,SMBus,Write address 0x0B ACK Protocol=Read word,,,,,,,,,,
0.39875575,SMBus,Command ManufacturerAccess 0x00,,,,,,,,,,
0.39911675,SMBus,Read address 0x0B ACK Protocol=Read word,,,,,,,,,,
0.399391583333333,SMBus,Word 0x0210 ACK,,,,,,,,,,
0.399740333333333,SMBus,PEC 0x97 OK,,,,,,,,,,
0.400957,SMBus,Write address 0x0B ACK Protocol=Read word,,,,,,,,,,
0.401107166666667,SMBus,Command BatteryStatus 0x16,,,,,,,,,,
0.401468166666667,SMBus,Read address 0x0B ACK Protocol=Read word,,,,,,,,,,
0.401736583333333,SMBus,BatteryStatus 0x900A OVER CHARGED ALARM=1, TERMINATE CHARGE ALARM=0, OVER TEMP ALARM=1, TERMINATE DISCHARGE ALARM=0, REMAINING CAPACITY ALARM=0, REMAINING TIME ALARM=0, INITIALIZED=0, DISCHARGING=0, FULLY CHARGED=0, FULLY DISCHARGED=0, ErrorCode=ReservedCommand
0.4021005,SMBus,PEC 0x09 OK,,,,,,,,,,
0.403295666666667,SMBus,Write address 0x0B ACK Protocol=Read word,,,,,,,,,,
0.403445833333333,SMBus,Command ChargingCurrent 0x14,,,,,,,,,,
0.403806833333333,SMBus,Read address 0x0B ACK Protocol=Read word,,,,,,,,,,
0.404075166666667,SMBus,Word 0x0000 ACK,,,,,,,,,,
0.404417666666667,SMBus,PEC 0xF2 OK,,,,,,,,,,
0.405634333333333,SMBus,Write address 0x0B ACK Protocol=Read word,,,,,,,,,,
0.4057845,SMBus,Command ChargingVoltage 0x15,,,,,,,,,,
0.4061455,SMBus,Read address 0x0B ACK Protocol=Read word,,,,,,,,,,
0.406413833333333,SMBus,Word 0x0000 ACK,,,,,,,,,,
0.406723,SMBus,Bad PEC 0x72 should be 0xE4,,,,,,,,,,
0.407960166666667,SMBus,Write address 0x0B ACK Protocol=Read word,,,,,,,,,,
0.408110333333333,SMBus,Command Temperature 0x08,,,,,,,,,,
0.408484083333333,SMBus,Read address 0x0B ACK Protocol=Read word,,,,,,,,,,
0.408751916666667,SMBus,Word 0x890B ACK,,,,,,,,,,
0.409129666666667,SMBus,Bad PEC 0x71 should be 0x47,,,,,,,,,,
0.410324333333333,SMBus,Write address 0x0B ACK Protocol=Read word,,,,,,,,,,
0.4104745,SMBus,Command <error> 0x3B,,,,,,,,,,
0.410835583333333,SMBus,Read address 0x0B ACK Protocol=Read word,,,,,,,,,,
0.411103416666667,SMBus,Word 0x870B ACK,,,,,,,,,,
0.411481416666667,SMBus,PEC 0x02 OK,,,,,,,,,,
0.412669416666667,SMBus,Write address 0x0B ACK Protocol=Read word,,,,,,,,,,
0.412826,SMBus,Command Voltage 0x09,,,,,,,,,,
0.413187,SMBus,Read address 0x0B ACK Protocol=Read word,,,,,,,,,,
0.413455416666667,SMBus,Word 0x8C1D ACK,,,,,,,,,,
0.413819333333333,SMBus,PEC 0x72 OK,,,,,,,,,,
0.41502725,SMBus,Write address 0x0B ACK Protocol=Read word,,,,,,,,,,
0.415177416666667,SMBus,Command RemainingCapacity 0x0F,,,,,,,,,,
0.415525583333333,SMBus,Read address 0x0B ACK Protocol=Read word,,,,,,,,,,
0.415794,SMBus,Word 0x0000 ACK,,,,,,,,,,
0.41617125,SMBus,PEC 0x1F OK,,,,,,,,,,
0.417365833333333,SMBus,Write address 0x0B ACK Protocol=Read word,,,,,,,,,,
0.417516,SMBus,Command FullChargeCapacity 0x10,,,,,,,,,,
0.417864333333333,SMBus,Read address 0x0B ACK Protocol=Read word,,,,,,,,,,
0.418132666666667,SMBus,Word 0x0000 ACK,,,,,,,,,,
0.418475083333333,SMBus,PEC 0xAA OK,,,,,,,,,,
0.419679,SMBus,Write address 0x0B ACK Protocol=Read word,,,,,,,,,,
0.419829083333333,SMBus,Command Current 0x0A,,,,,,,,,,
0.420202916666667,SMBus,Read address 0x0B ACK Protocol=Read word,,,,,,,,,,
0.42047125,SMBus,Word 0x0000 ACK,,,,,,,,,,
0.420835333333333,SMBus,PEC 0x51 OK,,,,,,,,,,
0.422043166666667,SMBus,Write address 0x0B ACK Protocol=Read word,,,,,,,,,,
0.422193333333333,SMBus,Command RunTimeToEmpty 0x11,,,,,,,,,,
0.422541583333333,SMBus,Read address 0x0B ACK Protocol=Read word,,,,,,,,,,
0.422810416666667,SMBus,Word 0xFFFF ACK,,,,,,,,,,
0.423165166666667,SMBus,PEC 0x98 OK,,,,,,,,,,
0.424637416666667,SMBus,Write address 0x0B ACK Protocol=Read word,,,,,,,,,,
0.424787583333333,SMBus,Command AverageCurrent 0x0B,,,,,,,,,,
0.425161333333333,SMBus,Read address 0x09 NACK Protocol=Read word,,,,,,,,,,
0.4252755,SMBus,Word 0x0000 ACK,,,,,,,,,,
0.425738583333333,SMBus,Bad PEC 0x23 should be 0xEC,,,,,,,,,,
0.426988833333333,SMBus,Write address 0x0B ACK Protocol=Read word,,,,,,,,,,
0.427139,SMBus,Command AverageTimeToFull 0x13,,,,,,,,,,
0.4275,SMBus,Read address 0x0B ACK Protocol=Read word,,,,,,,,,,
0.4277675,SMBus,Word 0xFFFF ACK,,,,,,,,,,
0.428110833333333,SMBus,PEC 0xB4 OK,,,,,,,,,,
0.4293275,SMBus,Write address 0x0B ACK Protocol=Read word,,,,,,,,,,
0.429477666666667,SMBus,Command AverageTimeToEmpty 0x12,,,,,,,,,,
0.429851416666667,SMBus,Read address 0x0B ACK Protocol=Read word,,,,,,,,,,
0.430119166666667,SMBus,Word 0xFFFF ACK,,,,,,,,,,
0.43046225,SMBus,PEC 0xA2 OK,,,,,,,,,,
0.431678916666667,SMBus,Write address 0x0B ACK Protocol=Read word,,,,,,,,,,
0.431829083333333,SMBus,Command CycleCount 0x17,,,,,,,,,,
0.432202833333333,SMBus,Read address 0x0B ACK Protocol=Read word,,,,,,,,,,
0.43247125,SMBus,Word 0x1405 ACK,,,,,,,,,,
0.4328265,SMBus,PEC 0xD0 OK,,,,,,,,,,
0.4343115,SMBus,Write address 0x0B ACK Protocol=Read word,,,,,,,,,,
0.434461666666667,SMBus,Command MaxError 0x0C,,,,,,,,,,
0.434822666666667,SMBus,Read address 0x0B ACK Protocol=Read word,,,,,,,,,,
0.435091,SMBus,Word 0x0000 ACK,,,,,,,,,,
0.43545525,SMBus,PEC 0x25 OK,,,,,,,,,,
0.4366565,SMBus,Write address 0x0B ACK Protocol=Read word,,,,,,,,,,
0.436813083333333,SMBus,Command RelativeStateOfCharge 0x0D,,,,,,,,,,
